distribution,num_days,num_samples,ratio,num_bin,solving_time,best_threshold,training_acc,training_precision_0,training_recall_1,training_inverse_weighted_f2,logistic_183_days_10000_samples_70_acc,logistic_183_days_10000_samples_70_precision_0,logistic_183_days_10000_samples_70_recall_1,logistic_183_days_10000_samples_70_inverse_weighted_f2,logistic_365_days_10000_samples_90_acc,logistic_365_days_10000_samples_90_precision_0,logistic_365_days_10000_samples_90_recall_1,logistic_365_days_10000_samples_90_inverse_weighted_f2,logistic_183_days_10000_samples_90_acc,logistic_183_days_10000_samples_90_precision_0,logistic_183_days_10000_samples_90_recall_1,logistic_183_days_10000_samples_90_inverse_weighted_f2,logistic_365_days_10000_samples_70_acc,logistic_365_days_10000_samples_70_precision_0,logistic_365_days_10000_samples_70_recall_1,logistic_365_days_10000_samples_70_inverse_weighted_f2
logistic,365,100000,90,13,0.00043741500000038513,0.1,0.989010989010989,0.9882,0.8621,0.8954,0.9505494505494505,0.9388,0.7955,0.8675,0.9752747252747253,0.9731,0.7692,0.8266,0.9945054945054945,0.9938,0.9565,0.9692,0.9120879120879121,0.8824,0.7419,0.8476
logistic,365,100000,90,14,0.00045661600000102,0.1,0.9917582417582418,0.9911,0.8966,0.9221,0.9615384615384616,0.9517,0.8409,0.8979,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9093406593406593,0.8791,0.7339,0.8426
logistic,365,100000,90,15,0.0004528770000007398,0.1,0.9917582417582418,0.9911,0.8966,0.9221,0.9560439560439561,0.9452,0.8182,0.8828,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9148351648351648,0.8856,0.75,0.8526
logistic,365,100000,90,16,0.0004298469999994836,0.1,0.9945054945054945,0.9941,0.931,0.9484,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9258241758241759,0.8989,0.7823,0.8724
logistic,365,100000,90,17,0.0004686959999986584,0.1,0.9945054945054945,0.9941,0.931,0.9484,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9203296703296703,0.8922,0.7661,0.8625
logistic,365,100000,90,18,0.00046300999999715486,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9313186813186813,0.9057,0.7984,0.8822
logistic,365,100000,90,19,0.0004982670000046596,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9313186813186813,0.9057,0.7984,0.8822
logistic,365,100000,90,20,0.00044171700000106284,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9368131868131868,0.9125,0.8145,0.892
logistic,365,100000,90,21,0.0005892240000022753,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9423076923076923,0.9195,0.8306,0.9017
logistic,365,100000,90,22,0.0004221480000055067,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9395604395604396,0.916,0.8226,0.8968
logistic,365,100000,90,23,0.0004058729999982802,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,365,100000,90,24,0.0004567140000020231,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,365,100000,90,25,0.0004599569999967912,0.1,0.9972527472527473,0.997,0.9655,0.9744,0.967032967032967,0.9583,0.8636,0.9129,0.9862637362637363,0.9848,0.8718,0.9057,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,365,100000,70,5,0.000462763000001587,0.1,0.7802197802197802,0.7531,0.3333,0.5672,0.8351648351648352,0.8214,0.3182,0.511,0.9285714285714286,0.9259,0.3333,0.4489,0.9285714285714286,0.9244,0.4348,0.5526,0.7582417582417582,0.7317,0.2903,0.5405
logistic,365,100000,70,6,0.00043588400000516003,0.1,0.7912087912087912,0.7625,0.3667,0.5918,0.8791208791208791,0.8625,0.5,0.6555,0.9203296703296703,0.9181,0.2564,0.3742,0.9120879120879121,0.9086,0.3043,0.4327,0.7774725274725275,0.7477,0.3468,0.5821
logistic,365,100000,70,7,0.0005789770000035332,0.1,0.8626373626373627,0.8299,0.5833,0.7433,0.8681318681318682,0.8519,0.4545,0.6205,0.9423076923076923,0.9393,0.4615,0.5676,0.9505494505494505,0.9464,0.6087,0.7019,0.7994505494505495,0.7668,0.4113,0.6285
logistic,365,100000,70,8,0.0005446069999948122,0.1,0.8543956043956044,0.8215,0.5583,0.7265,0.9285714285714286,0.9139,0.7045,0.8051,0.9560439560439561,0.9531,0.5897,0.6797,0.9615384615384616,0.9578,0.6957,0.7724,0.8461538461538461,0.8108,0.5484,0.7229
logistic,365,100000,70,9,0.00046029099999600476,0.1,0.8928571428571429,0.8622,0.675,0.8034,0.9340659340659341,0.92,0.7273,0.8209,0.9560439560439561,0.9531,0.5897,0.6797,0.9725274725274725,0.9695,0.7826,0.8404,0.8626373626373627,0.8276,0.5968,0.755
logistic,365,100000,70,10,0.0004593829999990362,0.1,0.8873626373626373,0.8561,0.6583,0.7926,0.9340659340659341,0.92,0.7273,0.8209,0.9587912087912088,0.9559,0.6154,0.7014,0.9725274725274725,0.9695,0.7826,0.8404,0.8736263736263736,0.8392,0.629,0.7761
logistic,365,100000,70,11,0.0005928690000018833,0.1,0.9175824175824175,0.8905,0.75,0.851,0.945054945054945,0.9324,0.7727,0.8521,0.9697802197802198,0.9673,0.7179,0.7858,0.9835164835164835,0.9815,0.8696,0.9059,0.8818681318681318,0.8481,0.6532,0.7917
logistic,365,100000,70,12,0.000564141000005236,0.1,0.9175824175824175,0.8905,0.75,0.851,0.9505494505494505,0.9388,0.7955,0.8675,0.9697802197802198,0.9673,0.7179,0.7858,0.989010989010989,0.9876,0.913,0.9378,0.8901098901098901,0.8571,0.6774,0.8071
logistic,365,100000,70,13,0.00043126799999981813,0.1,0.9313186813186813,0.9071,0.7917,0.8768,0.945054945054945,0.9324,0.7727,0.8521,0.9752747252747253,0.9731,0.7692,0.8266,0.989010989010989,0.9876,0.913,0.9378,0.9093406593406593,0.8791,0.7339,0.8426
logistic,365,100000,70,14,0.00040951999999805366,0.1,0.9368131868131868,0.9139,0.8083,0.887,0.9560439560439561,0.9452,0.8182,0.8828,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9203296703296703,0.8922,0.7661,0.8625
logistic,365,100000,70,15,0.00040291599999875416,0.1,0.9423076923076923,0.9208,0.825,0.8972,0.9615384615384616,0.9517,0.8409,0.8979,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9093406593406593,0.8791,0.7339,0.8426
logistic,365,100000,70,16,0.0004849990000010962,0.1,0.9423076923076923,0.9208,0.825,0.8972,0.9560439560439561,0.9452,0.8182,0.8828,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9203296703296703,0.8922,0.7661,0.8625
logistic,365,100000,70,17,0.0006615260000017997,0.1,0.945054945054945,0.9242,0.8333,0.9022,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9203296703296703,0.8922,0.7661,0.8625
logistic,365,100000,70,18,0.00039115299999537,0.1,0.945054945054945,0.9242,0.8333,0.9022,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9285714285714286,0.9023,0.7903,0.8773
logistic,365,100000,70,19,0.0004186510000039334,0.1,0.945054945054945,0.9242,0.8333,0.9022,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9313186813186813,0.9057,0.7984,0.8822
logistic,365,100000,70,20,0.00042374800000288815,0.1,0.9505494505494505,0.9313,0.85,0.9123,0.967032967032967,0.9583,0.8636,0.9129,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9285714285714286,0.9023,0.7903,0.8773
logistic,365,100000,70,21,0.0004182660000040528,0.1,0.9532967032967034,0.9349,0.8583,0.9173,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9395604395604396,0.916,0.8226,0.8968
logistic,365,100000,70,22,0.0004247600000013563,0.1,0.9505494505494505,0.9313,0.85,0.9123,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.9423076923076923,0.9195,0.8306,0.9017
logistic,365,100000,70,23,0.0005594049999970707,0.1,0.9532967032967034,0.9349,0.8583,0.9173,0.967032967032967,0.9583,0.8636,0.9129,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9368131868131868,0.9125,0.8145,0.892
logistic,365,100000,70,24,0.00043649400000589367,0.1,0.9532967032967034,0.9349,0.8583,0.9173,0.967032967032967,0.9583,0.8636,0.9129,0.9835164835164835,0.9819,0.8462,0.8862,0.9945054945054945,0.9938,0.9565,0.9692,0.945054945054945,0.9231,0.8387,0.9065
logistic,365,100000,70,25,0.0004219570000003614,0.1,0.9532967032967034,0.9349,0.8583,0.9173,0.9725274725274725,0.965,0.8864,0.9277,0.9807692307692307,0.9789,0.8205,0.8666,0.9945054945054945,0.9938,0.9565,0.9692,0.9478021978021978,0.9266,0.8468,0.9113
